Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Support Foot	Spin	Rotation	Edge	File
00:02:49.522	169.522	00:02:51.221	171.221	Right [a39]	SS [a24]	CCW [a50]		2.eaf
00:02:51.221	171.221	00:02:52.094	172.094		Trans [a25]			2.eaf
00:02:52.094	172.094	00:02:53.997	173.997	Right [a40]	SB [a26]	CCW [a51]		2.eaf
00:02:53.997	173.997	00:02:54.751	174.751		Step Out [a27]			2.eaf
00:00:59.691	59.691	00:01:00.923	60.923		Jump In [a1]			3.eaf
00:01:00.923	60.923	00:01:02.662	62.662	Right [a22]	BC [a2]	CCW [a34]		3.eaf
00:01:02.662	62.662	00:01:04.926	64.926	Right [a23]	CU [a3]	CCW [a35]		3.eaf
00:01:04.926	64.926	00:01:07.707	67.707	Right [a24]	CF [a4]	CCW [a36]		3.eaf
00:01:07.707	67.707	00:01:10.339	70.339	Right [a25]	CS [a5]	CCW [a37]		3.eaf
00:01:10.339	70.339	00:01:11.490	71.49		Step Out [a6]			3.eaf
00:01:37.472	97.472	00:01:38.146	98.146		Step In [a7]			3.eaf
00:01:38.146	98.146	00:01:42.621	102.621	Left [a26]	SS [a8]	CCW [a38]		3.eaf
00:01:42.621	102.621	00:01:43.310	103.31		CP [a9]			3.eaf
00:01:43.310	103.31	00:01:44.264	104.264	Right [a27]	SF [a10]	CCW [a39]		3.eaf
00:01:44.264	104.264	00:01:45.012	105.012		JCP [a11]			3.eaf
00:01:45.012	105.012	00:01:48.092	108.092	Right [a28]	SB [a12]	CCW [a40]		3.eaf
00:01:48.092	108.092	00:01:49.212	109.212		Step Out [a13]			3.eaf
00:02:34.713	154.713	00:02:36.896	156.896		Step In [a14]			3.eaf
00:02:36.896	156.896	00:02:39.712	159.712	Left [a29]	BU [a15]	CCW [a41]	Outside [a46]	3.eaf
00:02:39.712	159.712	00:02:42.131	162.131	Left [a30]	BU [a16]	CCW [a42]	Inside [a47]	3.eaf
00:02:42.131	162.131	00:02:43.232	163.232		CP [a17]			3.eaf
00:02:43.232	163.232	00:02:45.489	165.489	Right [a31]	SF [a18]	CCW [a43]		3.eaf
00:02:45.489	165.489	00:02:48.214	168.214	Right [a32]	Other-NBP [a19]	CCW [a44]		3.eaf
00:02:48.214	168.214	00:02:50.069	170.069	Right [a33]	US [a20]	CCW [a45]		3.eaf
00:02:50.069	170.069	00:02:50.386	170.386		Step Out [a21]			3.eaf
00:00:59.059	59.059	00:01:00.650	60.65		Jump In [a1]			1.eaf
00:01:00.650	60.65	00:01:01.719	61.719		Trans [a2]			1.eaf
00:01:01.719	61.719	00:01:04.175	64.175	Right [a27]	CU [a3]	CCW [a38]		1.eaf
00:01:04.175	64.175	00:01:05.501	65.501		Trans [a4]			1.eaf
00:01:05.501	65.501	00:01:07.736	67.736	Right [a28]	CS [a5]	CCW [a39]		1.eaf
00:01:07.736	67.736	00:01:09.887	69.887	Right [a29]	CF [a6]	CCW [a40]		1.eaf
00:01:09.887	69.887	00:01:11.447	71.447		Step Out [a7]			1.eaf
00:01:38.839	98.839	00:01:39.796	99.796		Step In [a8]			1.eaf
00:01:39.796	99.796	00:01:41.428	101.428	Right [a30]	BS [a9]	CCW [a41]		1.eaf
00:01:41.428	101.428	00:01:42.420	102.42		JCP [a10]			1.eaf
00:01:42.420	102.42	00:01:44.095	104.095	Right [a31]	BS [a11]	CCW [a42]		1.eaf
00:01:44.095	104.095	00:01:46.046	106.046		CP [a12]			1.eaf
00:01:46.046	106.046	00:01:53.168	113.168	Left [a32]	SB [a13]	CCW [a43]		1.eaf
00:01:53.168	113.168	00:01:54.248	114.248		Step Out [a14]			1.eaf
00:02:38.022	158.022	00:02:39.008	159.008		Step In [a15]			1.eaf
00:02:39.009	159.009	00:02:39.880	159.88		Trans [a16]			1.eaf
00:02:39.880	159.88	00:02:42.259	162.259	Left [a33]	SF [a17]	CCW [a44]		1.eaf
00:02:42.259	162.259	00:02:42.732	162.732		Trans [a18]			1.eaf
00:02:42.732	162.732	00:02:44.515	164.515	Left [a34]	UF [a19]	CCW [a45]		1.eaf
00:02:44.515	164.515	00:02:45.462	165.462		CP [a20]			1.eaf
00:02:45.464	165.464	00:02:47.963	167.963	Right [a35]	BC [a21]	CCW [a46]		1.eaf
00:02:47.963	167.963	00:02:49.388	169.388		Trans [a22]			1.eaf
00:02:49.388	169.388	00:02:50.932	170.932	Right [a36]	BS [a23]	CCW [a47]		1.eaf
00:02:50.932	170.932	00:02:51.755	171.755		Trans [a24]			1.eaf
00:02:51.755	171.755	00:02:52.742	172.742	Right [a50]	BU [a48]			1.eaf
00:02:52.742	172.742	00:02:55.962	175.962		US [a49]			1.eaf
00:02:55.962	175.962	00:02:56.874	176.874		Step Out [a26]			1.eaf
00:00:52.324	52.324	00:00:54.828	54.828		Jump In [a1]			0.eaf
00:00:54.828	54.828	00:00:56.178	56.178		Trans [a2]			0.eaf
00:00:56.178	56.178	00:01:03.458	63.458	Right [a6]	CU [a3]	CCW [a7]		0.eaf
00:01:03.458	63.458	00:01:05.771	65.771	Right [a32]	CF [a4]	CCW [a46]		0.eaf
00:01:05.771	65.771	00:01:06.771	66.771		Step Out [a5]			0.eaf
00:01:15.665	75.665	00:01:17.061	77.061		Difficult In [a9]			0.eaf
00:01:17.061	77.061	00:01:17.451	77.451		Trans [a10]			0.eaf
00:01:17.451	77.451	00:01:20.970	80.97	Right [a33]	BS [a11]	CCW [a47]		0.eaf
00:01:20.970	80.97	00:01:21.357	81.357	Right [a34]	Trans [a12]			0.eaf
00:01:21.357	81.357	00:01:21.997	81.997		JCP [a13]			0.eaf
00:01:21.997	81.997	00:01:22.888	82.888	Left [a35]	Trans [a14]			0.eaf
00:01:22.888	82.888	00:01:23.957	83.957	Left [a36]	BS [a15]	CCW [a48]		0.eaf
00:01:23.957	83.957	00:01:24.776	84.776		Trans [a16]			0.eaf
00:01:24.776	84.776	00:01:26.854	86.854	Left [a37]	SB [a17]	CCW [a49]		0.eaf
00:01:26.854	86.854	00:01:27.839	87.839	Left [a38]	BU [a18]	CCW [a50]		0.eaf
00:01:27.839	87.839	00:01:28.679	88.679		Step Out [a19]			0.eaf
00:02:36.224	156.224	00:02:37.054	157.054		Step In [a20]			0.eaf
00:02:37.054	157.054	00:02:39.550	159.55	Right [a39]	BC [a21]	CCW [a51]		0.eaf
00:02:39.550	159.55	00:02:41.890	161.89	Right [a40]	Other-NBP [a22]	CCW [a52]		0.eaf
00:02:41.890	161.89	00:02:42.309	162.309	Right [a41]	Trans [a23]			0.eaf
00:02:42.309	162.309	00:02:43.023	163.023		JCP [a24]			0.eaf
00:02:43.023	163.023	00:02:43.614	163.614	Right [a42]	Trans [a25]			0.eaf
00:02:43.614	163.614	00:02:45.200	165.2	Right [a43]	BS [a26]	CCW [a53]		0.eaf
00:02:45.200	165.2	00:02:46.492	166.492		CP [a27]			0.eaf
00:02:46.492	166.492	00:02:48.664	168.664	Left [a44]	Other-NBP [a28]	CCW [a54]		0.eaf
00:02:48.664	168.664	00:02:49.695	169.695		Trans [a29]			0.eaf
00:02:49.695	169.695	00:02:51.557	171.557	Left [a45]	SS [a30]	CCW [a55]		0.eaf
00:02:51.559	171.559	00:02:52.392	172.392		Step Out [a31]			0.eaf
00:01:09.502	69.502	00:01:12.262	72.262		Jump In [a1]			4.eaf
00:01:12.262	72.262	00:01:18.418	78.418	Right [a23]	BC [a2]	CCW [a32]		4.eaf
00:01:18.418	78.418	00:01:19.170	79.17		Trans [a3]			4.eaf
00:01:19.170	79.17	00:01:22.125	82.125	Right [a24]	CF [a4]	CCW [a33]		4.eaf
00:01:22.125	82.125	00:01:23.205	83.205		Step Out [a5]			4.eaf
00:01:42.620	102.62	00:01:43.855	103.855		Step In [a6]			4.eaf
00:01:43.860	103.86	00:01:44.340	104.34		Trans [a7]			4.eaf
00:01:44.340	104.34	00:01:46.228	106.228	Left [a25]	SF [a8]	CCW [a34]	Outside [a38]	4.eaf
00:01:46.228	106.228	00:01:47.704	107.704	Left [a26]	SF [a9]	CCW [a35]	Outside [a39]	4.eaf
00:01:47.704	107.704	00:01:50.418	110.418		CP [a10]			4.eaf
00:01:50.418	110.418	00:01:51.322	111.322		Trans [a11]			4.eaf
00:01:51.322	111.322	00:01:54.872	114.872	Right [a27]	SS [a12]	CW [a36]		4.eaf
00:01:54.872	114.872	00:01:56.100	116.1		Step Out [a13]			4.eaf
00:02:33.444	153.444	00:02:36.494	156.494		Step In [a14]			4.eaf
00:02:36.494	156.494	00:02:38.277	158.277	Right [a28]	BC [a15]	CCW [a37]		4.eaf
00:02:38.277	158.277	00:02:39.821	159.821		Trans [a16]			4.eaf
00:02:39.821	159.821	00:02:41.245	161.245	Right [a29]	US [a17]			4.eaf
00:02:41.245	161.245	00:02:42.594	162.594		CP [a18]			4.eaf
00:02:42.594	162.594	00:02:45.210	165.21	Left [a30]	UF [a19]			4.eaf
00:02:45.210	165.21	00:02:45.843	165.843		Trans [a20]			4.eaf
00:02:45.843	165.843	00:02:47.944	167.944	Left [a31]	SB [a21]			4.eaf
00:02:47.944	167.944	00:02:50.007	170.007		Step Out [a22]			4.eaf
00:00:45.285	45.285	00:00:48.269	48.269		Difficult In [a1]			5.eaf
00:00:48.269	48.269	00:00:51.398	51.398	Right [a35]	BC [a2]		Outside [a43]	5.eaf
00:00:51.398	51.398	00:00:53.945	53.945	Right [a36]	BC [a3]		Inside [a44]	5.eaf
00:00:53.945	53.945	00:00:54.696	54.696	Right [a37]	Trans [a4]			5.eaf
00:00:54.696	54.696	00:00:55.452	55.452		CP [a5]			5.eaf
00:00:55.452	55.452	00:00:57.357	57.357	Left [a38]	BC [a6]			5.eaf
00:00:57.357	57.357	00:00:58.388	58.388		Trans [a7]			5.eaf
00:00:58.388	58.388	00:01:00.373	60.373	Left [a39]	CS [a8]			5.eaf
00:01:00.373	60.373	00:01:03.155	63.155	Left [a40]	CU [a9]			5.eaf
00:01:03.155	63.155	00:01:04.432	64.432		Step Out [a10]			5.eaf
00:01:05.612	65.612	00:01:07.172	67.172		Difficult In [a11]			5.eaf
00:01:07.172	67.172	00:01:08.092	68.092		Jump In [a12]			5.eaf
00:01:08.092	68.092	00:01:09.211	69.211		Step Out [a13]			5.eaf
00:01:09.211	69.211	00:01:10.842	70.842	Left [a41]	SF [a14]			5.eaf
00:01:10.842	70.842	00:01:11.839	71.839		Trans [a15]			5.eaf
00:01:11.839	71.839	00:01:16.235	76.235	Left [a42]	SB [a16]			5.eaf
00:01:16.235	76.235	00:01:17.435	77.435		Step Out [a17]			5.eaf
00:02:27.451	147.451	00:02:28.563	148.563		Step In [a18]			5.eaf
00:02:28.563	148.563	00:02:30.622	150.622		BC [a19]			5.eaf
00:02:30.622	150.622	00:02:31.255	151.255		Trans [a20]			5.eaf
00:02:31.255	151.255	00:02:31.890	151.89		JCP [a21]			5.eaf
00:02:31.890	151.89	00:02:32.084	152.084		Trans [a22]			5.eaf
00:02:32.084	152.084	00:02:33.863	153.863		BS [a23]			5.eaf
00:02:33.863	153.863	00:02:34.733	154.733		Trans [a24]			5.eaf
00:02:34.733	154.733	00:02:36.358	156.358		BU [a25]			5.eaf
00:02:36.358	156.358	00:02:37.350	157.35		CP [a26]			5.eaf
00:02:37.350	157.35	00:02:39.332	159.332		BC [a27]			5.eaf
00:02:39.332	159.332	00:02:40.001	160.001		Trans [a28]			5.eaf
00:02:40.001	160.001	00:02:41.425	161.425		BS [a29]			5.eaf
00:02:41.429	161.429	00:02:41.939	161.939		Trans [a30]			5.eaf
00:02:41.939	161.939	00:02:44.792	164.792		Other-NBP [a31]			5.eaf
00:02:44.792	164.792	00:02:45.179	165.179		Trans [a32]			5.eaf
00:02:45.179	165.179	00:02:47.716	167.716		BU [a33]			5.eaf
00:02:47.716	167.716	00:02:48.113	168.113		Step Out [a34]			5.eaf
00:00:52.742	52.742	00:00:54.090	54.09		Jump In [a1]			7.eaf
00:00:54.090	54.09	00:00:58.266	58.266	Right [a31]	BC [a2]			7.eaf
00:00:58.266	58.266	00:00:59.099	59.099		Trans [a3]			7.eaf
00:00:59.099	59.099	00:01:01.445	61.445	Right [a32]	CS [a4]			7.eaf
00:01:01.445	61.445	00:01:05.263	65.263	Right [a33]	CF [a5]			7.eaf
00:01:05.263	65.263	00:01:06.624	66.624		Step Out [a6]			7.eaf
00:01:32.397	92.397	00:01:34.113	94.113		Difficult In [a7]			7.eaf
00:01:34.113	94.113	00:01:34.585	94.585		Trans [a8]			7.eaf
00:01:34.585	94.585	00:01:35.461	95.461	Right [a34]	BS [a9]			7.eaf
00:01:35.461	95.461	00:01:35.732	95.732		Trans [a10]			7.eaf
00:01:35.732	95.732	00:01:36.452	96.452		JCP [a11]			7.eaf
00:01:36.452	96.452	00:01:38.248	98.248	Right [a35]	Other-NBP [a12]			7.eaf
00:01:38.248	98.248	00:01:39.485	99.485		CP [a13]			7.eaf
00:01:39.485	99.485	00:01:40.040	100.04		Trans [a14]			7.eaf
00:01:40.040	100.04	00:01:44.919	104.919	Left [a36]	SF [a15]			7.eaf
00:01:44.919	104.919	00:01:45.732	105.732		Trans [a16]			7.eaf
00:01:45.732	105.732	00:01:46.412	106.412	Left [a37]	BU [a17]			7.eaf
00:01:46.412	106.412	00:01:47.172	107.172		Step Out [a18]			7.eaf
00:02:28.457	148.457	00:02:29.132	149.132		Step In [a19]			7.eaf
00:02:29.132	149.132	00:02:31.669	151.669		BC [a20]			7.eaf
00:02:31.669	151.669	00:02:32.027	152.027		Trans [a21]			7.eaf
00:02:32.027	152.027	00:02:34.169	154.169		UF [a22]			7.eaf
00:02:34.169	154.169	00:02:35.025	155.025		Trans [a23]			7.eaf
00:02:35.025	155.025	00:02:37.200	157.2		UF [a24]			7.eaf
00:02:37.200	157.2	00:02:38.390	158.39		CP [a25]			7.eaf
00:02:38.390	158.39	00:02:39.461	159.461		Trans [a26]			7.eaf
00:02:39.461	159.461	00:02:41.246	161.246		SB [a27]			7.eaf
00:02:41.246	161.246	00:02:41.956	161.956		Trans [a28]			7.eaf
00:02:41.960	161.96	00:02:44.489	164.489		US [a29]			7.eaf
00:02:44.489	164.489	00:02:45.521	165.521		Step Out [a30]			7.eaf
00:00:48.668	48.668	00:00:51.013	51.013		Jump In [a1]			6.eaf
00:00:51.013	51.013	00:00:53.156	53.156	Right [a29]	BC [a2]		Outside [a40]	6.eaf
00:00:53.156	53.156	00:00:55.820	55.82	Right [a30]	CU [a3]		Inside [a41]	6.eaf
00:00:55.820	55.82	00:00:58.320	58.32		Trans [a4]			6.eaf
00:00:58.320	58.32	00:01:00.547	60.547	Right [a31]	CF [a5]			6.eaf
00:01:00.547	60.547	00:01:02.105	62.105		Step Out [a6]			6.eaf
00:01:28.242	88.242	00:01:29.438	89.438		Step In [a7]			6.eaf
00:01:29.438	89.438	00:01:29.741	89.741		Trans [a8]			6.eaf
00:01:29.741	89.741	00:01:33.020	93.02	Left [a32]	SS [a9]			6.eaf
00:01:33.020	93.02	00:01:33.937	93.937		CP [a10]			6.eaf
00:01:33.937	93.937	00:01:35.166	95.166	Right [a33]	SF [a11]			6.eaf
00:01:35.166	95.166	00:01:36.125	96.125		JCP [a12]			6.eaf
00:01:36.125	96.125	00:01:38.797	98.797	Right [a34]	Other-NBP [a13]			6.eaf
00:01:38.797	98.797	00:01:39.762	99.762		Trans [a14]			6.eaf
00:01:39.762	99.762	00:01:40.680	100.68	Right [a35]	BU [a15]			6.eaf
00:01:40.680	100.68	00:01:41.440	101.44		Step Out [a16]			6.eaf
00:02:32.470	152.47	00:02:34.017	154.017		Step In [a17]			6.eaf
00:02:34.017	154.017	00:02:36.159	156.159		Trans [a18]			6.eaf
00:02:36.159	156.159	00:02:37.696	157.696	Left [a36]	SF [a19]			6.eaf
00:02:37.696	157.696	00:02:38.250	158.25		Trans [a20]			6.eaf
00:02:38.250	158.25	00:02:39.994	159.994	Left [a37]	UF [a21]			6.eaf
00:02:39.994	159.994	00:02:40.980	160.98		CP [a22]			6.eaf
00:02:40.980	160.98	00:02:42.962	162.962	Right [a38]	BC [a23]			6.eaf
00:02:42.962	162.962	00:02:43.941	163.941		Trans [a24]			6.eaf
00:02:43.941	163.941	00:02:45.406	165.406	Right [a39]	SF [a25]			6.eaf
00:02:45.410	165.41	00:02:46.676	166.676		Trans [a26]			6.eaf
00:02:46.680	166.68	00:02:48.622	168.622		US [a27]			6.eaf
00:02:48.622	168.622	00:02:49.456	169.456		Step Out [a28]			6.eaf
00:00:33.643	33.643	00:00:38.520	38.52		Difficult In [a1]			33.eaf
00:00:38.524	38.524	00:00:40.157	40.157		Jump In [a2]			33.eaf
00:00:40.157	40.157	00:00:42.468	42.468	Right [a31]	BC [a3]		Outside [a45]	33.eaf
00:00:42.468	42.468	00:00:45.571	45.571	Right [a32]	CU [a4]		Inside [a46]	33.eaf
00:00:45.571	45.571	00:00:47.359	47.359		Trans [a5]			33.eaf
00:00:47.359	47.359	00:00:51.098	51.098	Right [a33]	CS [a6]			33.eaf
00:00:51.098	51.098	00:00:53.008	53.008		Step Out [a7]			33.eaf
00:01:56.630	116.63	00:01:57.502	117.502		Step In [a8]			33.eaf
00:01:57.502	117.502	00:01:58.008	118.008		Trans [a9]			33.eaf
00:01:58.008	118.008	00:02:02.125	122.125	Right [a34]	SF [a10]			33.eaf
00:02:02.130	122.13	00:02:03.050	123.05		JCP [a11]			33.eaf
00:02:03.050	123.05	00:02:03.327	123.327	Left [a35]	Trans [a12]			33.eaf
00:02:03.327	123.327	00:02:07.041	127.041	Left [a36]	SS [a13]			33.eaf
00:02:07.041	127.041	00:02:09.350	129.35		Step Out [a14]			33.eaf
00:02:25.449	145.449	00:02:27.123	147.123		Step In [a15]			33.eaf
00:02:27.123	147.123	00:02:29.778	149.778	Left [a37]	BC [a16]			33.eaf
00:02:29.778	149.778	00:02:30.809	150.809		JCP [a17]			33.eaf
00:02:30.809	150.809	00:02:31.126	151.126	Left [a38]	Trans [a18]			33.eaf
00:02:31.126	151.126	00:02:32.552	152.552	Left [a39]	SF [a19]			33.eaf
00:02:32.552	152.552	00:02:33.542	153.542		Trans [a20]			33.eaf
00:02:33.542	153.542	00:02:34.730	154.73	Left [a40]	Other-NBP [a21]			33.eaf
00:02:34.730	154.73	00:02:35.642	155.642		CP [a22]			33.eaf
00:02:35.642	155.642	00:02:37.745	157.745	Right [a41]	BC [a23]			33.eaf
00:02:37.745	157.745	00:02:39.132	159.132		Trans [a24]			33.eaf
00:02:39.132	159.132	00:02:40.558	160.558	Right [a42]	SF [a25]			33.eaf
00:02:40.558	160.558	00:02:40.904	160.904		Trans [a26]			33.eaf
00:02:40.904	160.904	00:02:42.807	162.807	Right [a43]	Other-NBP [a27]			33.eaf
00:02:42.807	162.807	00:02:43.867	163.867		Trans [a28]			33.eaf
00:02:43.867	163.867	00:02:46.007	166.007	Right [a44]	BU [a29]			33.eaf
00:02:46.007	166.007	00:02:47.078	167.078		Step Out [a30]			33.eaf
00:01:02.913	62.913	00:01:03.744	63.744		Step In [a1]			27.eaf
00:01:03.744	63.744	00:01:04.459	64.459		Trans [a2]			27.eaf
00:01:04.459	64.459	00:01:08.978	68.978		SF [a3]			27.eaf
00:01:08.978	68.978	00:01:10.217	70.217		CP [a4]			27.eaf
00:01:10.217	70.217	00:01:10.817	70.817		Trans [a5]			27.eaf
00:01:10.817	70.817	00:01:12.374	72.374		SF [a6]			27.eaf
00:01:12.374	72.374	00:01:13.374	73.374		JCP [a7]			27.eaf
00:01:13.374	73.374	00:01:13.732	73.732		Trans [a8]			27.eaf
00:01:13.732	73.732	00:01:15.491	75.491		SS [a9]			27.eaf
00:01:15.491	75.491	00:01:17.131	77.131		Step Out [a10]			27.eaf
00:02:18.575	138.575	00:02:20.876	140.876		Jump In [a11]			27.eaf
00:02:20.876	140.876	00:02:21.429	141.429		Trans [a12]			27.eaf
00:02:21.429	141.429	00:02:23.650	143.65	Right [a28]	CU [a13]			27.eaf
00:02:23.654	143.654	00:02:25.400	145.4		CP [a14]			27.eaf
00:02:25.400	145.4	00:02:27.541	147.541	Right [a29]	SS [a15]			27.eaf
00:02:27.541	147.541	00:02:30.120	150.12	Right [a30]	CF [a16]			27.eaf
00:02:30.120	150.12	00:02:31.548	151.548		Step Out [a17]			27.eaf
00:02:38.093	158.093	00:02:38.849	158.849		Step In [a18]			27.eaf
00:02:38.849	158.849	00:02:39.082	159.082		Trans [a19]			27.eaf
00:02:39.082	159.082	00:02:40.899	160.899	Right [a31]	BC [a20]		Outside [a36]	27.eaf
00:02:40.899	160.899	00:02:43.516	163.516	Right [a32]	BC [a21]		Inside [a37]	27.eaf
00:02:43.516	163.516	00:02:45.023	165.023		Trans [a22]			27.eaf
00:02:45.023	165.023	00:02:46.411	166.411	Right [a33]	US [a23]			27.eaf
00:02:46.411	166.411	00:02:47.325	167.325		JCP [a24]			27.eaf
00:02:47.325	167.325	00:02:47.641	167.641	Left [a34]	Trans [a25]			27.eaf
00:02:47.641	167.641	00:02:50.297	170.297	Left [a35]	SB [a26]			27.eaf
00:02:50.297	170.297	00:02:51.487	171.487		Step Out [a27]			27.eaf
00:00:56.093	56.093	00:00:56.808	56.808		Step In [a1]			26.eaf
00:00:56.808	56.808	00:00:59.115	59.115	Right [a28]	BC [a2]			26.eaf
00:00:59.115	59.115	00:00:59.907	59.907		Trans [a3]			26.eaf
00:00:59.907	59.907	00:01:01.178	61.178	Right [a29]	Other-NBP [a4]			26.eaf
00:01:01.178	61.178	00:01:02.093	62.093		JCP [a5]			26.eaf
00:01:02.093	62.093	00:01:04.029	64.029	Right [a30]	BS [a6]			26.eaf
00:01:04.029	64.029	00:01:04.748	64.748		JCP [a7]			26.eaf
00:01:04.748	64.748	00:01:05.388	65.388	Left [a31]	Trans [a8]			26.eaf
00:01:05.388	65.388	00:01:06.624	66.624	Left [a32]	UF [a9]			26.eaf
00:01:06.624	66.624	00:01:07.540	67.54		Trans [a10]			26.eaf
00:01:07.540	67.54	00:01:08.700	68.7	Left [a33]	BU [a11]			26.eaf
00:01:08.700	68.7	00:01:09.820	69.82		Step Out [a12]			26.eaf
00:01:41.359	101.359	00:01:43.719	103.719		Jump In [a13]			26.eaf
00:01:43.719	103.719	00:01:43.720	103.72		Trans [a14]			26.eaf
00:01:43.720	103.72	00:01:44.600	104.6		Trans [a15]			26.eaf
00:01:44.600	104.6	00:01:51.309	111.309	Right [a34]	CU [a16]			26.eaf
00:01:51.309	111.309	00:01:53.469	113.469		Step Out [a17]			26.eaf
00:02:43.845	163.845	00:02:45.075	165.075		Difficult In [a18]			26.eaf
00:02:45.075	165.075	00:02:45.908	165.908		Trans [a19]			26.eaf
00:02:45.908	165.908	00:02:46.659	166.659	Right [a35]	BS [a20]			26.eaf
00:02:46.659	166.659	00:02:48.759	168.759	Right [a36]	Other-NBP [a21]			26.eaf
00:02:48.759	168.759	00:02:50.029	170.029		CP [a22]			26.eaf
00:02:50.029	170.029	00:02:50.902	170.902	Left [a37]	Trans [a23]			26.eaf
00:02:50.902	170.902	00:02:52.210	172.21	Left [a38]	SS [a24]			26.eaf
00:02:52.210	172.21	00:02:52.799	172.799		Trans [a25]			26.eaf
00:02:52.799	172.799	00:02:54.662	174.662	Left [a39]	SB [a26]			26.eaf
00:02:54.662	174.662	00:02:56.130	176.13		Step Out [a27]			26.eaf
00:00:46.486	46.486	00:00:48.355	48.355		Step In [a1]			32.eaf
00:00:48.355	48.355	00:00:50.782	50.782	Left [a28]	BC [a2]		Outside [a40]	32.eaf
00:00:50.782	50.782	00:00:53.245	53.245	Left [a29]	CU [a3]		Inside [a41]	32.eaf
00:00:53.245	53.245	00:00:54.678	54.678		JCP [a4]			32.eaf
00:00:54.678	54.678	00:00:56.546	56.546	Right [a30]	BC [a5]			32.eaf
00:00:56.546	56.546	00:00:58.258	58.258		Trans [a6]			32.eaf
00:00:58.258	58.258	00:01:02.949	62.949	Right [a31]	CS [a7]			32.eaf
00:01:02.949	62.949	00:01:05.185	65.185		Step Out [a8]			32.eaf
00:02:10.139	130.139	00:02:12.280	132.28		JCP [a9]			32.eaf
00:02:12.280	132.28	00:02:13.388	133.388		Trans [a10]			32.eaf
00:02:13.388	133.388	00:02:18.149	138.149	Left [a32]	SF [a11]			32.eaf
00:02:18.149	138.149	00:02:19.494	139.494		Trans [a12]			32.eaf
00:02:19.494	139.494	00:02:21.437	141.437	Left [a33]	SB [a13]			32.eaf
00:02:21.437	141.437	00:02:23.105	143.105		Step Out [a14]			32.eaf
00:02:25.018	145.018	00:02:25.772	145.772		Step In [a15]			32.eaf
00:02:25.772	145.772	00:02:27.753	147.753	Right [a34]	BS [a16]			32.eaf
00:02:27.753	147.753	00:02:28.981	148.981		Trans [a17]			32.eaf
00:02:28.981	148.981	00:02:30.647	150.647	Right [a35]	Other-NBP [a18]			32.eaf
00:02:30.647	150.647	00:02:31.241	151.241		CP [a19]			32.eaf
00:02:31.241	151.241	00:02:32.668	152.668	Right [a36]	US [a20]			32.eaf
00:02:32.668	152.668	00:02:34.176	154.176		CP [a21]			32.eaf
00:02:34.176	154.176	00:02:36.517	156.517	Left [a37]	BC [a22]			32.eaf
00:02:36.517	156.517	00:02:37.310	157.31		Trans [a23]			32.eaf
00:02:37.310	157.31	00:02:39.096	159.096	Left [a38]	BS [a24]			32.eaf
00:02:39.096	159.096	00:02:40.327	160.327		Trans [a25]			32.eaf
